"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-03","0.05",,"68","53","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-04",,,"70","48","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-05",,,"70","48","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-06",,,"70","50","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-07",,,"70","57","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-08","0.01",,"75","62","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-09",,,"68","50","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-10",,,"59","37","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-11",,,"62","36","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-12","0.00",,"67","48","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-13","0.15",,"72","62","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-14","0.14",,"61","50","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-15","0.08",,"54","44","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-16","0.68",,"65","43","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-17",,,"73","50","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-18",,,"66","48","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-19",,,"70","46","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-20",,,"72","47","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-21",,,"70","50","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-22","1.81",,"68","55","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-23","0.42",,"62","55","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-24","0.00",,"58","50","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-25",,,"60","43","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-26",,,"62","46","54"
