Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
20150728T12-05,,56287,,,,,,
20150728T13-05,,59766,,,,,,
20150728T14-05,,62741,,,,,,
20150728T15-05,,65143,,,,,,
20150728T16-05,,66525,,,,,,
20150728T17-05,,66829,,,,,,
20150728T18-05,,66501,,,,,,
20150728T19-05,,65039,,,,,,
20150728T20-05,,62584,,,,,,
20150728T21-05,,60362,,,,,,
20150728T22-05,,58350,,,,,,
20150728T23-05,,54111,,,,,,
20150729T00-05,,49498,,,,,,
20150729T01-05,,45748,,,,,,
20150729T02-05,,42935,,,,,,
20150729T03-05,,40908,,,,,,
20150729T04-05,,39573,,,,,,
20150729T05-05,,39133,,,,,,
20150729T06-05,,39908,,,,,,
20150729T07-05,,41396,,,,,,
20150729T08-05,,42192,,,,,,
20150729T09-05,,44751,,,,,,
20150729T10-05,,48323,,,,,,
20150729T11-05,,52567,,,,,,
20150729T12-05,,56835,,,,,,
20150729T13-05,,60666,,,,,,
20150729T14-05,,64030,,,,,,
20150729T15-05,,66247,,,,,,
20150729T16-05,,67275,,,,,,
20150729T17-05,,67585,,,,,,
20150729T18-05,,67223,,,,,,
20150729T19-05,,66419,,,,,,
20150729T20-05,,63468,,,,,,
20150729T21-05,,61095,,,,,,
20150729T22-05,,58854,,,,,,
20150729T23-05,,54410,,,,,,
20150730T00-05,,49762,,,,,,
20150730T01-05,,45797,,,,,,
20150730T02-05,,42817,,,,,,
20150730T03-05,,40629,,,,,,
20150730T04-05,,39188,,,,,,
20150730T05-05,,38627,,,,,,
20150730T06-05,,39456,,,,,,
20150730T07-05,,41011,,,,,,
20150730T08-05,,41911,,,,,,
20150730T09-05,,44595,,,,,,
20150730T10-05,,48439,,,,,,
20150730T11-05,,52932,,,,,,
20150730T12-05,,57194,,,,,,
20150730T13-05,,60897,,,,,,
20150730T14-05,,64317,,,,,,
20150730T15-05,,66465,,,,,,
20150730T16-05,,67416,,,,,,
20150730T17-05,,67630,,,,,,
20150730T18-05,,67379,,,,,,
20150730T19-05,,65970,,,,,,
20150730T20-05,,63439,,,,,,
20150730T21-05,,61276,,,,,,
20150730T22-05,,58846,,,,,,
20150730T23-05,,54723,,,,,,
20150731T00-05,,50485,,,,,,
20150731T01-05,,46778,,,,,,
20150731T02-05,,44058,,,,,,
20150731T03-05,,41826,,,,,,
20150731T04-05,,40449,,,,,,
20150731T05-05,,39910,,,,,,
20150731T06-05,,40628,,,,,,
20150731T07-05,,41849,,,,,,
20150731T08-05,,42590,,,,,,
20150731T09-05,,45058,,,,,,
20150731T10-05,,48525,,,,,,
20150731T11-05,,52723,,,,,,
20150731T12-05,,56769,,,,,,
20150731T13-05,,60320,,,,,,
20150731T14-05,,63462,,,,,,
20150731T15-05,,65509,,,,,,
20150731T16-05,,66252,,,,,,
20150731T17-05,,65779,,,,,,
20150731T18-05,,64382,,,,,,
20150731T19-05,,61766,,,,,,
20150731T20-05,,58776,,,,,,
20150731T21-05,,56530,,,,,,
20150731T22-05,,54269,,,,,,
20150731T23-05,,50660,,,,,,
20150801T00-05,,46854,,,,,,
20150801T01-05,,43386,,,,,,
20150801T02-05,,40517,,,,,,
20150801T03-05,,38234,,,,,,
20150801T04-05,,36675,,,,,,
20150801T05-05,,35710,,,,,,
20150801T06-05,,35416,,,,,,
20150801T07-05,,35480,,,,,,
20150801T08-05,,35928,,,,,,
20150801T09-05,,38956,,,,,,
20150801T10-05,,42896,,,,,,
20150801T11-05,,47057,,,,,,
20150801T12-05,,51097,,,,,,
20150801T13-05,,54317,,,,,,
20150801T14-05,,56807,,,,,,
20150801T15-05,,58725,,,,,,
20150801T16-05,,60170,,,,,,
20150801T17-05,,60904,,,,,,
20150801T18-05,,60580,,,,,,
20150801T19-05,,59302,,,,,,
20150801T20-05,,56886,,,,,,
20150801T21-05,,54484,,,,,,
